Library_ID,code,condition,age,mice_id,experiment,Solexa,well,nas_ID,column,row,indexes
CM1993,ID-SNI-635-5-I,2n,22.5 mo,16/2097,SNI-635,,5I,,5,I,N711-S507
CM1994,ID-SNI-635-5-J,2n,22.5 mo,16/2097,SNI-635,,5J,,5,J,N712-S507
CM1995,ID-SNI-635-5-K,2n,22.5 mo,16/2097,SNI-635,,5K,,5,K,N711-S508
CM1996,ID-SNI-635-5-L,2n,22.5 mo,16/2097,SNI-635,,5L,,5,L,N712-S508
CM1997,ID-SNI-635-5-M,4n,22.5 mo,16/2097,SNI-635,,5M,,5,M,N711-S510
CM1998,ID-SNI-635-5-N,4n,22.5 mo,16/2097,SNI-635,,5N,,5,N,N712-S510
CM1999,ID-SNI-635-5-O,4n,22.5 mo,16/2097,SNI-635,,5O,,5,O,N711-S511
CM2000,ID-SNI-635-5-P,4n,22.5 mo,16/2097,SNI-635,,5P,,5,P,N712-S511
CM2001,ID-SNI-635-6-A,2n,3 mo,17/048228,SNI-635,,6A,,6,A,N714-S502
CM2002,ID-SNI-635-6-B,2n,3 mo,17/048228,SNI-635,,6B,,6,B,N715-S502
CM2003,ID-SNI-635-6-C,2n,3 mo,17/048228,SNI-635,,6C,,6,C,N714-S503
CM2004,ID-SNI-635-6-D,2n,3 mo,17/048228,SNI-635,,6D,,6,D,N715-S503
CM2005,ID-SNI-635-6-E,4n,3 mo,17/048228,SNI-635,,6E,,6,E,N714-S505
CM2006,ID-SNI-635-6-F,4n,3 mo,17/048228,SNI-635,,6F,,6,F,N715-S505
CM2007,ID-SNI-635-6-G,4n,3 mo,17/048228,SNI-635,,6G,,6,G,N714-S506
CM2008,ID-SNI-635-6-H,4n,3 mo,17/048228,SNI-635,,6H,,6,H,N715-S506
CM2009,ID-SNI-635-6-I,2n,22.5 mo,16/2097,SNI-635,,6I,,6,I,N714-S507
CM2010,ID-SNI-635-6-J,2n,22.5 mo,16/2097,SNI-635,,6J,,6,J,N715-S507
CM2011,ID-SNI-635-6-K,2n,22.5 mo,16/2097,SNI-635,,6K,,6,K,N714-S508
CM2012,ID-SNI-635-6-L,2n,22.5 mo,16/2097,SNI-635,,6L,,6,L,N715-S508
CM2013,ID-SNI-635-6-M,4n,22.5 mo,16/2097,SNI-635,,6M,,6,M,N714-S510
CM2014,ID-SNI-635-6-N,4n,22.5 mo,16/2097,SNI-635,,6N,,6,N,N715-S510
CM2015,ID-SNI-635-6-O,4n,22.5 mo,16/2097,SNI-635,,6O,,6,O,N714-S511
CM2016,ID-SNI-635-6-P,4n,22.5 mo,16/2097,SNI-635,,6P,,6,P,N715-S511
CM2017,ID-SNI-635-7-A,2n,3 mo,17/048228,SNI-635,,7A,,7,A,N716-S502
CM2018,ID-SNI-635-7-B,2n,3 mo,17/048228,SNI-635,,7B,,7,B,N718-S502
CM2019,ID-SNI-635-7-C,2n,3 mo,17/048228,SNI-635,,7C,,7,C,N716-S503
CM2020,ID-SNI-635-7-D,2n,3 mo,17/048228,SNI-635,,7D,,7,D,N718-S503
CM2021,ID-SNI-635-7-E,4n,3 mo,17/048228,SNI-635,,7E,,7,E,N716-S505
CM2022,ID-SNI-635-7-F,4n,3 mo,17/048228,SNI-635,,7F,,7,F,N718-S505
CM2023,ID-SNI-635-7-G,4n,3 mo,17/048228,SNI-635,,7G,,7,G,N716-S506
CM2024,ID-SNI-635-7-H,4n,3 mo,17/048228,SNI-635,,7H,,7,H,N718-S506
CM2025,ID-SNI-635-7-I,2n,22.5 mo,16/2097,SNI-635,,7I,,7,I,N716-S507
CM2026,ID-SNI-635-7-J,2n,22.5 mo,16/2097,SNI-635,,7J,,7,J,N718-S507
CM2027,ID-SNI-635-7-K,2n,22.5 mo,16/2097,SNI-635,,7K,,7,K,N716-S508
CM2028,ID-SNI-635-7-L,2n,22.5 mo,16/2097,SNI-635,,7L,,7,L,N718-S508
CM2029,ID-SNI-635-7-M,4n,22.5 mo,16/2097,SNI-635,,7M,,7,M,N716-S510
CM2030,ID-SNI-635-7-N,4n,22.5 mo,16/2097,SNI-635,,7N,,7,N,N718-S510
CM2031,ID-SNI-635-7-O,4n,22.5 mo,16/2097,SNI-635,,7O,,7,O,N716-S511
CM2032,ID-SNI-635-7-P,4n,22.5 mo,16/2097,SNI-635,,7P,,7,P,N718-S511
CM2033,ID-SNI-635-8-A,2n,3 mo,17/048228,SNI-635,,8A,,8,A,N719-S502
CM2034,ID-SNI-635-8-B,2n,3 mo,17/048228,SNI-635,,8B,,8,B,N720-S502
CM2035,ID-SNI-635-8-C,2n,3 mo,17/048228,SNI-635,,8C,,8,C,N719-S503
CM2036,ID-SNI-635-8-D,2n,3 mo,17/048228,SNI-635,,8D,,8,D,N720-S503
CM2037,ID-SNI-635-8-E,4n,3 mo,17/048228,SNI-635,,8E,,8,E,N719-S505
CM2038,ID-SNI-635-8-F,4n,3 mo,17/048228,SNI-635,,8F,,8,F,N720-S505
CM2039,ID-SNI-635-8-G,4n,3 mo,17/048228,SNI-635,,8G,,8,G,N719-S506
CM2040,ID-SNI-635-8-H,4n,3 mo,17/048228,SNI-635,,8H,,8,H,N720-S506
CM2041,ID-SNI-635-8-I,2n,22.5 mo,16/2097,SNI-635,,8I,,8,I,N719-S507
CM2042,ID-SNI-635-8-J,2n,22.5 mo,16/2097,SNI-635,,8J,,8,J,N720-S507
CM2043,ID-SNI-635-8-K,2n,22.5 mo,16/2097,SNI-635,,8K,,8,K,N719-S508
CM2044,ID-SNI-635-8-L,2n,22.5 mo,16/2097,SNI-635,,8L,,8,L,N720-S508
CM2045,ID-SNI-635-8-M,4n,22.5 mo,16/2097,SNI-635,,8M,,8,M,N719-S510
CM2046,ID-SNI-635-8-N,4n,22.5 mo,16/2097,SNI-635,,8N,,8,N,N720-S510
CM2047,ID-SNI-635-8-O,4n,22.5 mo,16/2097,SNI-635,,8O,,8,O,N719-S511
CM2048,ID-SNI-635-8-P,4n,22.5 mo,16/2097,SNI-635,,8P,,8,P,N720-S511
CM2049,ID-SNI-635-9-A,2n,3 mo,17/048228,SNI-635,,9A,,9,A,N721-S502
CM2050,ID-SNI-635-9-B,2n,3 mo,17/048228,SNI-635,,9B,,9,B,N722-S502
CM2051,ID-SNI-635-9-C,2n,3 mo,17/048228,SNI-635,,9C,,9,C,N721-S503
CM2052,ID-SNI-635-9-D,2n,3 mo,17/048228,SNI-635,,9D,,9,D,N722-S503
CM2053,ID-SNI-635-9-E,4n,3 mo,17/048228,SNI-635,,9E,,9,E,N721-S505
CM2054,ID-SNI-635-9-F,4n,3 mo,17/048228,SNI-635,,9F,,9,F,N722-S505
CM2055,ID-SNI-635-9-G,4n,3 mo,17/048228,SNI-635,,9G,,9,G,N721-S506
CM2056,ID-SNI-635-9-H,4n,3 mo,17/048228,SNI-635,,9H,,9,H,N722-S506
CM2057,ID-SNI-635-9-I,2n,22.5 mo,16/2097,SNI-635,,9I,,9,I,N721-S507
CM2058,ID-SNI-635-9-J,2n,22.5 mo,16/2097,SNI-635,,9J,,9,J,N722-S507
CM2059,ID-SNI-635-9-K,2n,22.5 mo,16/2097,SNI-635,,9K,,9,K,N721-S508
CM2060,ID-SNI-635-9-L,2n,22.5 mo,16/2097,SNI-635,,9L,,9,L,N722-S508
CM2061,ID-SNI-635-9-M,4n,22.5 mo,16/2097,SNI-635,,9M,,9,M,N721-S510
CM2062,ID-SNI-635-9-N,4n,22.5 mo,16/2097,SNI-635,,9N,,9,N,N722-S510
CM2063,ID-SNI-635-9-O,4n,22.5 mo,16/2097,SNI-635,,9O,,9,O,N721-S511
CM2064,ID-SNI-635-9-P,4n,22.5 mo,16/2097,SNI-635,,9P,,9,P,N722-S511
CM2065,ID-SNI-635-10-A,2n,3 mo,17/048228,SNI-635,,10A,,10,A,N723-S502
CM2066,ID-SNI-635-10-B,2n,3 mo,17/048228,SNI-635,,10B,,10,B,N724-S502
CM2067,ID-SNI-635-10-C,2n,3 mo,17/048228,SNI-635,,10C,,10,C,N723-S503
CM2068,ID-SNI-635-10-D,2n,3 mo,17/048228,SNI-635,,10D,,10,D,N724-S503
CM2069,ID-SNI-635-10-E,4n,3 mo,17/048228,SNI-635,,10E,,10,E,N723-S505
CM2070,ID-SNI-635-10-F,4n,3 mo,17/048228,SNI-635,,10F,,10,F,N724-S505
CM2071,ID-SNI-635-10-G,4n,3 mo,17/048228,SNI-635,,10G,,10,G,N723-S506
CM2072,ID-SNI-635-10-H,4n,3 mo,17/048228,SNI-635,,10H,,10,H,N724-S506
CM2073,ID-SNI-635-10-I,2n,22.5 mo,16/2097,SNI-635,,10I,,10,I,N723-S507
CM2074,ID-SNI-635-10-J,2n,22.5 mo,16/2097,SNI-635,,10J,,10,J,N724-S507
CM2075,ID-SNI-635-10-K,2n,22.5 mo,16/2097,SNI-635,,10K,,10,K,N723-S508
CM2076,ID-SNI-635-10-L,2n,22.5 mo,16/2097,SNI-635,,10L,,10,L,N724-S508
CM2077,ID-SNI-635-10-M,4n,22.5 mo,16/2097,SNI-635,,10M,,10,M,N723-S510
CM2078,ID-SNI-635-10-N,4n,22.5 mo,16/2097,SNI-635,,10N,,10,N,N724-S510
CM2079,ID-SNI-635-10-O,4n,22.5 mo,16/2097,SNI-635,,10O,,10,O,N723-S511
CM2080,ID-SNI-635-10-P,4n,22.5 mo,16/2097,SNI-635,,10P,,10,P,N724-S511
CM2081,ID-SNI-635-11-A,2n,3 mo,17/048228,SNI-635,,11A,,11,A,N726-S502
CM2082,ID-SNI-635-11-B,2n,3 mo,17/048228,SNI-635,,11B,,11,B,N727-S502
CM2083,ID-SNI-635-11-C,2n,3 mo,17/048228,SNI-635,,11C,,11,C,N726-S503
CM2084,ID-SNI-635-11-D,2n,3 mo,17/048228,SNI-635,,11D,,11,D,N727-S503
CM2085,ID-SNI-635-11-E,4n,3 mo,17/048228,SNI-635,,11E,,11,E,N726-S505
CM2086,ID-SNI-635-11-F,4n,3 mo,17/048228,SNI-635,,11F,,11,F,N727-S505
CM2087,ID-SNI-635-11-G,4n,3 mo,17/048228,SNI-635,,11G,,11,G,N726-S506
CM2088,ID-SNI-635-11-H,4n,3 mo,17/048228,SNI-635,,11H,,11,H,N727-S506
CM2089,ID-SNI-635-11-I,2n,22.5 mo,16/2097,SNI-635,,11I,,11,I,N726-S507
CM2090,ID-SNI-635-11-J,2n,22.5 mo,16/2097,SNI-635,,11J,,11,J,N727-S507
CM2091,ID-SNI-635-11-K,2n,22.5 mo,16/2097,SNI-635,,11K,,11,K,N726-S508
CM2092,ID-SNI-635-11-L,2n,22.5 mo,16/2097,SNI-635,,11L,,11,L,N727-S508
CM2093,ID-SNI-635-11-M,4n,22.5 mo,16/2097,SNI-635,,11M,,11,M,N726-S510
CM2094,ID-SNI-635-11-N,4n,22.5 mo,16/2097,SNI-635,,11N,,11,N,N727-S510
CM2095,ID-SNI-635-11-O,4n,22.5 mo,16/2097,SNI-635,,11O,,11,O,N726-S511
CM2096,ID-SNI-635-11-P,4n,22.5 mo,16/2097,SNI-635,,11P,,11,P,N727-S511
CM2097,ID-SNI-635-12-A,2n,3 mo,17/048228,SNI-635,,12A,,12,A,N728-S502
CM2098,ID-SNI-635-12-B,2n,3 mo,17/048228,SNI-635,,12B,,12,B,N729-S502
CM2099,ID-SNI-635-12-C,2n,3 mo,17/048228,SNI-635,,12C,,12,C,N728-S503
CM2100,ID-SNI-635-12-D,2n,3 mo,17/048228,SNI-635,,12D,,12,D,N729-S503
CM2101,ID-SNI-635-12-E,4n,3 mo,17/048228,SNI-635,,12E,,12,E,N728-S505
CM2102,ID-SNI-635-12-F,4n,3 mo,17/048228,SNI-635,,12F,,12,F,N729-S505
CM2103,ID-SNI-635-12-G,4n,3 mo,17/048228,SNI-635,,12G,,12,G,N728-S506
CM2104,ID-SNI-635-12-H,4n,3 mo,17/048228,SNI-635,,12H,,12,H,N729-S506
CM2105,ID-SNI-635-12-I,2n,22.5 mo,16/2097,SNI-635,,12I,,12,I,N728-S507
CM2106,ID-SNI-635-12-J,2n,22.5 mo,16/2097,SNI-635,,12J,,12,J,N729-S507
CM2107,ID-SNI-635-12-K,2n,22.5 mo,16/2097,SNI-635,,12K,,12,K,N728-S508
CM2108,ID-SNI-635-12-L,2n,22.5 mo,16/2097,SNI-635,,12L,,12,L,N729-S508
CM2109,ID-SNI-635-12-M,4n,22.5 mo,16/2097,SNI-635,,12M,,12,M,N728-S510
CM2110,ID-SNI-635-12-N,4n,22.5 mo,16/2097,SNI-635,,12N,,12,N,N729-S510
CM2111,ID-SNI-635-12-O,4n,22.5 mo,16/2097,SNI-635,,12O,,12,O,N728-S511
CM2112,ID-SNI-635-12-P,4n,22.5 mo,16/2097,SNI-635,,12P,,12,P,N729-S511
CM2113,ID-SNI-635-13-A,2n,3 mo,17/048228,SNI-635,,13A,,13,A,N701-S513
CM2114,ID-SNI-635-13-B,2n,3 mo,17/048228,SNI-635,,13B,,13,B,N702-S513
CM2115,ID-SNI-635-13-C,2n,3 mo,17/048228,SNI-635,,13C,,13,C,N701-S515
CM2116,ID-SNI-635-13-D,2n,3 mo,17/048228,SNI-635,,13D,,13,D,N702-S515
CM2117,ID-SNI-635-13-E,4n,3 mo,17/048228,SNI-635,,13E,,13,E,N701-S516
CM2118,ID-SNI-635-13-F,4n,3 mo,17/048228,SNI-635,,13F,,13,F,N702-S516
CM2119,ID-SNI-635-13-G,4n,3 mo,17/048228,SNI-635,,13G,,13,G,N701-S517
CM2120,ID-SNI-635-13-H,4n,3 mo,17/048228,SNI-635,,13H,,13,H,N702-S517
CM2121,ID-SNI-635-13-I,2n,22.5 mo,16/2097,SNI-635,,13I,,13,I,N701-S518
CM2122,ID-SNI-635-13-J,2n,22.5 mo,16/2097,SNI-635,,13J,,13,J,N702-S518
CM2123,ID-SNI-635-13-K,2n,22.5 mo,16/2097,SNI-635,,13K,,13,K,N701-S520
CM2124,ID-SNI-635-13-L,2n,22.5 mo,16/2097,SNI-635,,13L,,13,L,N702-S520
CM2125,ID-SNI-635-13-M,4n,22.5 mo,16/2097,SNI-635,,13M,,13,M,N701-S521
CM2126,ID-SNI-635-13-N,4n,22.5 mo,16/2097,SNI-635,,13N,,13,N,N702-S521
CM2127,ID-SNI-635-13-O,4n,22.5 mo,16/2097,SNI-635,,13O,,13,O,N701-S522
CM2128,ID-SNI-635-13-P,4n,22.5 mo,16/2097,SNI-635,,13P,,13,P,N702-S522
CM2129,ID-SNI-635-14-A,2n,3 mo,17/048228,SNI-635,,14A,,14,A,N703-S513
CM2130,ID-SNI-635-14-B,2n,3 mo,17/048228,SNI-635,,14B,,14,B,N704-S513
CM2131,ID-SNI-635-14-C,2n,3 mo,17/048228,SNI-635,,14C,,14,C,N703-S515
CM2132,ID-SNI-635-14-D,2n,3 mo,17/048228,SNI-635,,14D,,14,D,N704-S515
CM2133,ID-SNI-635-14-E,4n,3 mo,17/048228,SNI-635,,14E,,14,E,N703-S516
CM2134,ID-SNI-635-14-F,4n,3 mo,17/048228,SNI-635,,14F,,14,F,N704-S516
CM2135,ID-SNI-635-14-G,4n,3 mo,17/048228,SNI-635,,14G,,14,G,N703-S517
CM2136,ID-SNI-635-14-H,4n,3 mo,17/048228,SNI-635,,14H,,14,H,N704-S517
CM2137,ID-SNI-635-14-I,2n,22.5 mo,16/2097,SNI-635,,14I,,14,I,N703-S518
CM2138,ID-SNI-635-14-J,2n,22.5 mo,16/2097,SNI-635,,14J,,14,J,N704-S518
CM2139,ID-SNI-635-14-K,2n,22.5 mo,16/2097,SNI-635,,14K,,14,K,N703-S520
CM2140,ID-SNI-635-14-L,2n,22.5 mo,16/2097,SNI-635,,14L,,14,L,N704-S520
CM2141,ID-SNI-635-14-M,4n,22.5 mo,16/2097,SNI-635,,14M,,14,M,N703-S521
CM2142,ID-SNI-635-14-N,4n,22.5 mo,16/2097,SNI-635,,14N,,14,N,N704-S521
CM2143,ID-SNI-635-14-O,4n,22.5 mo,16/2097,SNI-635,,14O,,14,O,N703-S522
CM2144,ID-SNI-635-14-P,4n,22.5 mo,16/2097,SNI-635,,15P,,15,P,N704-S522
CM2145,ID-SNI-635-15-A,2n,3 mo,17/048228,SNI-635,,15A,,15,A,N705-S513
CM2146,ID-SNI-635-15-B,2n,3 mo,17/048228,SNI-635,,15B,,15,B,N706-S513
CM2147,ID-SNI-635-15-C,2n,3 mo,17/048228,SNI-635,,15C,,15,C,N705-S515
CM2148,ID-SNI-635-15-D,2n,3 mo,17/048228,SNI-635,,15D,,15,D,N706-S515
CM2149,ID-SNI-635-15-E,4n,3 mo,17/048228,SNI-635,,15E,,15,E,N705-S516
CM2150,ID-SNI-635-15-F,4n,3 mo,17/048228,SNI-635,,15F,,15,F,N706-S516
CM2151,ID-SNI-635-15-G,4n,3 mo,17/048228,SNI-635,,15G,,15,G,N705-S517
CM2152,ID-SNI-635-15-H,4n,3 mo,17/048228,SNI-635,,15H,,15,H,N706-S517
CM2153,ID-SNI-635-15-I,2n,22.5 mo,16/2097,SNI-635,,15I,,15,I,N705-S518
CM2154,ID-SNI-635-15-J,2n,22.5 mo,16/2097,SNI-635,,15J,,15,J,N706-S518
CM2155,ID-SNI-635-15-K,2n,22.5 mo,16/2097,SNI-635,,15K,,15,K,N705-S520
CM2156,ID-SNI-635-15-L,2n,22.5 mo,16/2097,SNI-635,,15L,,15,L,N706-S520
CM2157,ID-SNI-635-15-M,4n,22.5 mo,16/2097,SNI-635,,15M,,15,M,N705-S521
CM2158,ID-SNI-635-15-N,4n,22.5 mo,16/2097,SNI-635,,15N,,15,N,N706-S521
CM2159,ID-SNI-635-15-O,4n,22.5 mo,16/2097,SNI-635,,15O,,15,O,N705-S522
CM2160,ID-SNI-635-15-P,4n,22.5 mo,16/2097,SNI-635,,15P,,15,P,N706-S522
CM2161,ID-SNI-635-16-A,2n,3 mo,17/048228,SNI-635,,16A,,16,A,N707-S513
CM2162,ID-SNI-635-16-B,2n,3 mo,17/048228,SNI-635,,16B,,16,B,N710-S513
CM2163,ID-SNI-635-16-C,2n,3 mo,17/048228,SNI-635,,16C,,16,C,N707-S515
CM2164,ID-SNI-635-16-D,2n,3 mo,17/048228,SNI-635,,16D,,16,D,N710-S515
CM2165,ID-SNI-635-16-E,4n,3 mo,17/048228,SNI-635,,16E,,16,E,N707-S516
CM2166,ID-SNI-635-16-F,4n,3 mo,17/048228,SNI-635,,16F,,16,F,N710-S516
CM2167,ID-SNI-635-16-G,4n,3 mo,17/048228,SNI-635,,16G,,16,G,N707-S517
CM2168,ID-SNI-635-16-H,4n,3 mo,17/048228,SNI-635,,16H,,16,H,N710-S517
CM2169,ID-SNI-635-16-I,2n,22.5 mo,16/2097,SNI-635,,16I,,16,I,N707-S518
CM2170,ID-SNI-635-16-J,2n,22.5 mo,16/2097,SNI-635,,16J,,16,J,N710-S518
CM2171,ID-SNI-635-16-K,2n,22.5 mo,16/2097,SNI-635,,16K,,16,K,N707-S520
CM2172,ID-SNI-635-16-L,2n,22.5 mo,16/2097,SNI-635,,16L,,16,L,N710-S520
CM2173,ID-SNI-635-16-M,4n,22.5 mo,16/2097,SNI-635,,16M,,16,M,N707-S521
CM2174,ID-SNI-635-16-N,4n,22.5 mo,16/2097,SNI-635,,16N,,16,N,N710-S521
CM2175,ID-SNI-635-16-O,4n,22.5 mo,16/2097,SNI-635,,16O,,16,O,N707-S522
CM2176,ID-SNI-635-16-P,4n,22.5 mo,16/2097,SNI-635,,16P,,16,P,N710-S522
CM2177,ID-SNI-635-17-A,2n,3 mo,17/048228,SNI-635,,17A,,17,A,N711-S513
CM2178,ID-SNI-635-17-B,2n,3 mo,17/048228,SNI-635,,17B,,17,B,N712-S513
CM2179,ID-SNI-635-17-C,2n,3 mo,17/048228,SNI-635,,17C,,17,C,N711-S515
CM2180,ID-SNI-635-17-D,2n,3 mo,17/048228,SNI-635,,17D,,17,D,N712-S515
CM2181,ID-SNI-635-17-E,4n,3 mo,17/048228,SNI-635,,17E,,17,E,N711-S516
CM2182,ID-SNI-635-17-F,4n,3 mo,17/048228,SNI-635,,17F,,17,F,N712-S516
CM2183,ID-SNI-635-17-G,4n,3 mo,17/048228,SNI-635,,17G,,17,G,N711-S517
CM2184,ID-SNI-635-17-H,4n,3 mo,17/048228,SNI-635,,17H,,17,H,N712-S517
CM2185,ID-SNI-635-17-I,2n,22.5 mo,16/2097,SNI-635,,17I,,17,I,N711-S518
CM2186,ID-SNI-635-17-J,2n,22.5 mo,16/2097,SNI-635,,17J,,17,J,N712-S518
CM2187,ID-SNI-635-17-K,2n,22.5 mo,16/2097,SNI-635,,17K,,17,K,N711-S520
CM2188,ID-SNI-635-17-L,2n,22.5 mo,16/2097,SNI-635,,17L,,17,L,N712-S520
CM2189,ID-SNI-635-17-M,4n,22.5 mo,16/2097,SNI-635,,17M,,17,M,N711-S521
CM2190,ID-SNI-635-17-N,4n,22.5 mo,16/2097,SNI-635,,17N,,17,N,N712-S521
CM2191,ID-SNI-635-17-O,4n,22.5 mo,16/2097,SNI-635,,17O,,17,O,N711-S522
CM2192,ID-SNI-635-17-P,4n,22.5 mo,16/2097,SNI-635,,17P,,17,P,N712-S522
CM2193,ID-SNI-635-18-A,2n,3 mo,17/048228,SNI-635,,18A,,18,A,N714-S513
CM2194,ID-SNI-635-18-B,2n,3 mo,17/048228,SNI-635,,18B,,18,B,N715-S513
CM2195,ID-SNI-635-18-C,2n,3 mo,17/048228,SNI-635,,18C,,18,C,N714-S515
CM2196,ID-SNI-635-18-D,2n,3 mo,17/048228,SNI-635,,18D,,18,D,N715-S515
CM2197,ID-SNI-635-18-E,4n,3 mo,17/048228,SNI-635,,18E,,18,E,N714-S516
CM2198,ID-SNI-635-18-F,4n,3 mo,17/048228,SNI-635,,18F,,18,F,N715-S516
CM2199,ID-SNI-635-18-G,4n,3 mo,17/048228,SNI-635,,18G,,18,G,N714-S517
CM2200,ID-SNI-635-18-H,4n,3 mo,17/048228,SNI-635,,18H,,18,H,N715-S517
CM2201,ID-SNI-635-18-I,2n,22.5 mo,16/2097,SNI-635,,18I,,18,I,N714-S518
CM2202,ID-SNI-635-18-J,2n,22.5 mo,16/2097,SNI-635,,18J,,18,J,N715-S518
CM2203,ID-SNI-635-18-K,2n,22.5 mo,16/2097,SNI-635,,18K,,18,K,N714-S520
CM2204,ID-SNI-635-18-L,2n,22.5 mo,16/2097,SNI-635,,18L,,18,L,N715-S520
CM2205,ID-SNI-635-18-M,4n,22.5 mo,16/2097,SNI-635,,18M,,18,M,N714-S521
CM2206,ID-SNI-635-18-N,4n,22.5 mo,16/2097,SNI-635,,18N,,18,N,N715-S521
CM2207,ID-SNI-635-18-O,4n,22.5 mo,16/2097,SNI-635,,18O,,18,O,N714-S522
CM2208,ID-SNI-635-18-P,4n,22.5 mo,16/2097,SNI-635,,18P,,18,P,N715-S522
CM2209,ID-SNI-635-19-A,2n,3 mo,17/048228,SNI-635,,19A,,19,A,N716-S513
CM2210,ID-SNI-635-19-B,2n,3 mo,17/048228,SNI-635,,19B,,19,B,N718-S513
CM2211,ID-SNI-635-19-C,2n,3 mo,17/048228,SNI-635,,19C,,19,C,N716-S515
CM2212,ID-SNI-635-19-D,2n,3 mo,17/048228,SNI-635,,19D,,19,D,N718-S515
CM2213,ID-SNI-635-19-E,4n,3 mo,17/048228,SNI-635,,19E,,19,E,N716-S516
CM2214,ID-SNI-635-19-F,4n,3 mo,17/048228,SNI-635,,19F,,19,F,N718-S516
CM2215,ID-SNI-635-19-G,4n,3 mo,17/048228,SNI-635,,19G,,19,G,N716-S517
CM2216,ID-SNI-635-19-H,4n,3 mo,17/048228,SNI-635,,19H,,19,H,N718-S517
CM2217,ID-SNI-635-19-I,2n,22.5 mo,16/2097,SNI-635,,19I,,19,I,N716-S518
CM2218,ID-SNI-635-19-J,2n,22.5 mo,16/2097,SNI-635,,19J,,19,J,N718-S518
CM2219,ID-SNI-635-19-K,2n,22.5 mo,16/2097,SNI-635,,19K,,19,K,N716-S520
CM2220,ID-SNI-635-19-L,2n,22.5 mo,16/2097,SNI-635,,19L,,19,L,N718-S520
CM2221,ID-SNI-635-19-M,4n,22.5 mo,16/2097,SNI-635,,19M,,19,M,N716-S521
CM2222,ID-SNI-635-19-N,4n,22.5 mo,16/2097,SNI-635,,19N,,19,N,N718-S521
CM2223,ID-SNI-635-19-O,4n,22.5 mo,16/2097,SNI-635,,19O,,19,O,N716-S522
CM2224,ID-SNI-635-19-P,4n,22.5 mo,16/2097,SNI-635,,19P,,19,P,N718-S522
CM2225,ID-SNI-635-20-A,2n,3 mo,17/048228,SNI-635,,20A,,20,A,N719-S513
CM2226,ID-SNI-635-20-B,2n,3 mo,17/048228,SNI-635,,20B,,20,B,N720-S513
CM2227,ID-SNI-635-20-C,2n,3 mo,17/048228,SNI-635,,20C,,20,C,N719-S515
CM2228,ID-SNI-635-20-D,2n,3 mo,17/048228,SNI-635,,20D,,20,D,N720-S515
CM2229,ID-SNI-635-20-E,4n,3 mo,17/048228,SNI-635,,20E,,20,E,N719-S516
CM2230,ID-SNI-635-20-F,4n,3 mo,17/048228,SNI-635,,20F,,20,F,N720-S516
CM2231,ID-SNI-635-20-G,4n,3 mo,17/048228,SNI-635,,20G,,20,G,N719-S517
CM2232,ID-SNI-635-20-H,4n,3 mo,17/048228,SNI-635,,20H,,20,H,N720-S517
CM2233,ID-SNI-635-20-I,2n,22.5 mo,16/2097,SNI-635,,20I,,20,I,N719-S518
CM2234,ID-SNI-635-20-J,2n,22.5 mo,16/2097,SNI-635,,20J,,20,J,N720-S518
CM2235,ID-SNI-635-20-K,2n,22.5 mo,16/2097,SNI-635,,20K,,20,K,N719-S520
CM2236,ID-SNI-635-820-L,2n,22.5 mo,16/2097,SNI-635,,20L,,20,L,N720-S520
CM2237,ID-SNI-635-20-M,4n,22.5 mo,16/2097,SNI-635,,20M,,20,M,N719-S521
CM2238,ID-SNI-635-20-N,4n,22.5 mo,16/2097,SNI-635,,20N,,20,N,N720-S521
CM2239,ID-SNI-635-20-O,4n,22.5 mo,16/2097,SNI-635,,20O,,20,O,N719-S522
CM2240,ID-SNI-635-20-P,4n,22.5 mo,16/2097,SNI-635,,20P,,20,P,N720-S522
CM2241,ID-SNI-635-21-A,2n,3 mo,17/048228,SNI-635,,21A,,21,A,N721-S513
CM2242,ID-SNI-635-21-B,2n,3 mo,17/048228,SNI-635,,21B,,21,B,N722-S513
CM2243,ID-SNI-635-21-C,2n,3 mo,17/048228,SNI-635,,21C,,21,C,N721-S515
CM2244,ID-SNI-635-21-D,2n,3 mo,17/048228,SNI-635,,21D,,21,D,N722-S515
CM2245,ID-SNI-635-21-E,4n,3 mo,17/048228,SNI-635,,21E,,21,E,N721-S516
CM2246,ID-SNI-635-21-F,4n,3 mo,17/048228,SNI-635,,21F,,21,F,N722-S516
CM2247,ID-SNI-635-21-G,4n,3 mo,17/048228,SNI-635,,21G,,21,G,N721-S517
CM2248,ID-SNI-635-21-H,4n,3 mo,17/048228,SNI-635,,21H,,21,H,N722-S517
CM2249,ID-SNI-635-21-I,2n,22.5 mo,16/2097,SNI-635,,21I,,21,I,N721-S518
CM2250,ID-SNI-635-21-J,2n,22.5 mo,16/2097,SNI-635,,21J,,21,J,N722-S518
CM2251,ID-SNI-635-21-K,2n,22.5 mo,16/2097,SNI-635,,21K,,21,K,N721-S520
CM2252,ID-SNI-635-21-L,2n,22.5 mo,16/2097,SNI-635,,21L,,21,L,N722-S520
CM2253,ID-SNI-635-21-M,4n,22.5 mo,16/2097,SNI-635,,21M,,21,M,N721-S521
CM2254,ID-SNI-635-21-N,4n,22.5 mo,16/2097,SNI-635,,21N,,21,N,N722-S521
CM2255,ID-SNI-635-21-O,4n,22.5 mo,16/2097,SNI-635,,21O,,21,O,N721-S522
